1,11
2,12
3,13
4,14
5,15
6,16
7,21
8,22
9,23
10,24
11,25
12,26
13,31
14,32
15,33
16,34
17,35
18,36
19,41
20,42
21,43
22,44
23,45
24,46
25,51
26,52
27,53
28,54
29,55
30,56
1,2,10
2,3,10
3,4,10
4,5,10
5,6,10
7,8,10
8,9,10
9,10,10
10,11,10
11,12,10
13,14,10
14,15,10
15,16,10
16,17,10
17,18,10
19,20,10
20,21,10
21,22,10
22,23,10
23,24,10
25,26,10
26,27,10
27,28,10
28,29,10
29,30,10
1,7,10
2,8,10
3,9,10
4,10,10
5,11,10
6,12,10
7,13,10
8,14,10
9,15,10
10,16,10
11,17,10
12,18,10
13,19,10
14,20,10
15,21,10
16,22,10
17,23,10
18,24,10
19,25,10
20,26,10
21,27,10
22,28,10
23,29,10
24,30,10
S,9
D,25
